"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning and Deep Learning Methods for Cybersecurity","Y. Xin; L. Kong; Z. Liu; Y. Chen; Y. Li; H. Zhu; M. Gao; H. Hou; C. Wang","Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; School of Information Science and Engineering, Shandong University, Jinan, China; Guizhou Provincial Key Laboratory of Public Big Data, Guizhou University, Guiyang, China; Guizhou Provincial Key Laboratory of Public Big Data, Guizhou University, Guiyang, China; Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; China Changfeng Science Technology Industry Group Corporation, Beijing, China","IEEE Access","16 Jul 2018","2018","6","","35365","35381","With the development of the Internet, cyber-attacks are changing rapidly and the cyber security situation is not optimistic. This survey report describes key literature surveys on machine learning (ML) and deep learning (DL) methods for network analysis of intrusion detection and provides a brief tutorial description of each ML/DL method. Papers representing each method were indexed, read, and summarized based on their temporal or thermal correlations. Because data are so important in ML/DL methods, we describe some of the commonly used network datasets used in ML/DL, discuss the challenges of using ML/DL for cybersecurity and provide suggestions for research directions.","2169-3536","","10.1109/ACCESS.2018.2836950","National Key R&D Program of China(grant numbers:2017YFB0802300); Foundation of Guizhou Provincial Key Laboratory of Public Big Data(grant numbers:2017BDKFJJ015); Key Research and Development Plan of Shandong Province(grant numbers:2017CXGC1503,2018GSF118228); Natural Science Foundation of Shandong Province(grant numbers:ZR2012FZ005); Shandong University(grant numbers:2015JC038); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359287","Cybersecurity;intrusion detection;deep learning;machine learning","Machine learning;Intrusion detection;Feature extraction;Machine learning algorithms;Computer security","Internet;learning (artificial intelligence);security of data","cyber security situation;cyber-attacks;machine learning;ML/DL;thermal correlation;temporal correlation;intrusion detection;network analysis;deep learning","","333","","78","OAPA","15 May 2018","","","IEEE","IEEE Journals"
"A Novel Error Correction Mechanism for Energy-Efficient Cyber-Physical Systems in Smart Building","M. Zhan; J. Wu; H. Wen; P. Zhang","Key Laboratory of Networks and Cloud Computing Security of University, College of Electronic and Information Engineering, Southwest University, Chongqing, China; School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; School of Aerospace, University of Electronic Science and Technology of China, Chengdu, China; Department of Science and Industry, Guangdong Mechanical and Electrical Polytechnic, Guangzhou, China","IEEE Access","30 Jul 2018","2018","6","","39037","39045","Smart building is an effective solution to address the issue of energy consumption in today's cyber-physical systems (CPSs) connected world. As an important tool to collect information from a fleet of electric appliance that installed in the building scope, a wireless sensor network is widely employed for this purpose. In this paper, we propose to incorporate forward error correction into the media access control layer of IEEE 802.15.4 standard for packets transmission, as the originally used automatic repeat request mechanism is a timing and energy consumed process that should be avoided in a noisy wireless channel of a smart building environment. Based on the developed CPS simulation platform, the bits error rate and packets error rate of convolutional codes (CCs), Reed-Solomon (RS) codes, and their concatenated codes are intensively investigated, on condition of been applied to different packet length and code rates. We show that the CCs are superior to other codes in most cases. However, the RS and CCs concatenated codes are good candidates, and the RS codes with larger symbol length are preferred for a longer packet. In this regard, future research will concentrated on non-line-of-sight wireless channel, and take the pulse interference from other devices into account.","2169-3536","","10.1109/ACCESS.2018.2854794","National Natural Science Foundation of China(grant numbers:61671390,61431008,61572114); National Major Research and Development Program(grant numbers:2018YFB0904905); Natural Science Foundation of Guangdong Province(grant numbers:2017A030313431); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409928","Buildings;cyber-physical systems;IEEE 802.15.4;error correction;energy efficiency","Forward error correction;Smart buildings;Decoding;Payloads;Encoding;IEEE 802.15 Standard;Wireless communication","access protocols;concatenated codes;convolutional codes;cyber-physical systems;error correction codes;error statistics;forward error correction;power consumption;Reed-Solomon codes;wireless channels;wireless sensor networks;Zigbee","packets transmission;energy consumed process;noisy wireless channel;smart building environment;bits error rate;packets error rate;convolutional codes;Reed-Solomon codes;concatenated codes;energy-efficient cyber-physical systems;energy consumption;electric appliance;wireless sensor network;forward error correction;media access control layer;pulse interference;nonline-of-sight wireless channel;smart building;CPS simulation platform;automatic repeat request mechanism;IEEE 802.15.4 standard;error correction mechanism","","11","","35","OAPA","11 Jul 2018","","","IEEE","IEEE Journals"
"Adversarial Learning With Multi-Modal Attention for Visual Question Answering","Y. Liu; X. Zhang; F. Huang; L. Cheng; Z. Li","Beijing Key Laboratory of Network Technology, Beihang University, Beijing, China; Key Laboratory of Aerospace Network Security, Ministry of Industry and Information Technology, School of Cyberspace Science and Technology, Beihang University, Beijing, China; College of Cyber Security/College of Information Science and Technology, Jinan University, Guangzhou, China; Shenzhen Research Institute of Big Data, Shenzhen, China; State Key Laboratory of Software Development Environment, School of Computer Science and Engineering, Beihang University, Beijing, China","IEEE Transactions on Neural Networks and Learning Systems","31 Aug 2021","2021","32","9","3894","3908","Visual question answering (VQA) has been proposed as a challenging task and attracted extensive research attention. It aims to learn a joint representation of the question–image pair for answer inference. Most of the existing methods focus on exploring the multi-modal correlation between the question and image to learn the joint representation. However, the answer-related information is not fully captured by these methods, which results that the learned representation is ineffective to reflect the answer of the question. To tackle this problem, we propose a novel model, i.e., adversarial learning with multi-modal attention (ALMA), for VQA. An adversarial learning-based framework is proposed to learn the joint representation to effectively reflect the answer-related information. Specifically, multi-modal attention with the Siamese similarity learning method is designed to build two embedding generators, i.e., question–image embedding and question–answer embedding. Then, adversarial learning is conducted as an interplay between the two embedding generators and an embedding discriminator. The generators have the purpose of generating two modality-invariant representations for the question–image and question–answer pairs, whereas the embedding discriminator aims to discriminate the two representations. Both the multi-modal attention module and the adversarial networks are integrated into an end-to-end unified framework to infer the answer. Experiments performed on three benchmark data sets confirm the favorable performance of ALMA compared with state-of-the-art approaches.","2162-2388","","10.1109/TNNLS.2020.3016083","Beijing Natural Science Foundation of China(grant numbers:4182037); National Natural Science Foundation of China(grant numbers:U1636210,U1636211); Open Research Fund from the Shenzhen Research Institute of Big Data(grant numbers:2019ORF01012); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9174895","Adversarial learning;multi-modal attention;visual question answering (VQA)","Correlation;Semantics;Learning systems;Visualization;Generators;Task analysis;Knowledge discovery","data visualisation;image processing;inference mechanisms;learning (artificial intelligence);question answering (information retrieval)","visual question answering;VQA;extensive research attention;question-image pair;answer inference;multimodal correlation;answer-related information;learned representation;adversarial learning-based framework;Siamese similarity learning method;modality-invariant representations;question-answer pairs;multimodal attention module;adversarial networks","","2","","55","IEEE","24 Aug 2020","","","IEEE","IEEE Journals"
"Compact Multiple Attribute-Based Signatures With Key Aggregation and Its Application","R. Guo; K. Li; X. Li; Y. Zhang; X. Li","School of Cyberspace Security, National Engineering Laboratory for Wireless Security, Xi&#x2019;an University of Posts and Telecommunications, Xi&#x2019;an, China; School of Cyberspace Security, National Engineering Laboratory for Wireless Security, Xi&#x2019;an University of Posts and Telecommunications, Xi&#x2019;an, China; Institute for Cyber Security, School of Computer Science and Engineering, University of Electronic Science and Technology of China, Chengdu, China; School of Cyberspace Security, National Engineering Laboratory for Wireless Security, Xi&#x2019;an University of Posts and Telecommunications, Xi&#x2019;an, China; Inspur Electronic Information Industry Company Ltd., Jinan, China","IEEE Systems Journal","13 Jun 2022","2022","16","2","3025","3035","In blockchain-enabled applications, it is difficult to preserve privacy completely because of the openness of each signer’s public key. In this article, an efficient multiattribute-based signature scheme with key aggregation (M-ABS-KA) is presented that supports a flexible threshold predicate. This construction aggregates the public keys and provides a compact signature that is verified as a group, which realizes faster batch verification than confirming them individually. Furthermore, both the multisignature scale and the public key length are independent of the number of signers and attributes in this scheme. To the best of our knowledge, this M-ABS-KA scheme is the first multi-ABS protocol with an aggregated public key and fast batch verification. Based on the hardness of the computational Diffie–Hellman problem, it is formally proven that the proposal achieves unforgeability in the random oracle model and enjoys signer privacy. Additionally, the performance is evaluated in theoretical and experimental analyses with other related ABS schemes, and the results show that it is feasible and efficient in storage, bandwidth, and computational cost. Finally, as an illustrative application, we design a framework of the blockchain-enabled electronic health records assessment system based on this presented M-ABS-KA scheme.","1937-9234","","10.1109/JSYST.2022.3148989","National Key R&amp;D Program of China(grant numbers:2017YFB0802000); National Natural Science Foundation of China(grant numbers:62072369,62072371,62072078,61802303,61772418); Key Research and Development Program of Shaanxi(grant numbers:2020ZDLGY08-04,2019KW-053); Innovation Capability Support Program in Shaanxi Province of China(grant numbers:2020KJXX-052,2017KJXX-47); Natural Science Basic Research Plan in Shaanxi Province of China(grant numbers:2019JQ-866,2018JZ6001); Research Program of Education Bureau of Shaanxi Province(grant numbers:19JK0803); Xi'an University of Posts and Telecommunications(grant numbers:2016-02); Basic Research Program of Qinghai Province(grant numbers:2020-ZJ-701); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9729108","Batch verification;blockchain;electronic health records (EHRs);key aggregation;multiple attribute-based signatures (ABS)","Blockchains;Public key;Protocols;Privacy;Servers;Bitcoin;Research and development","data privacy;digital signatures;protocols;public key cryptography","construction aggregates;compact signature;faster batch verification;multisignature scale;public key length;signers;M-ABS-KA scheme;multiABS protocol;aggregated public key;computational Diffie-Hellman problem;signer privacy;related ABS schemes;illustrative application;blockchain-enabled electronic health records assessment system;compact multiple attribute-based signatures;key aggregation;blockchain-enabled applications;signature scheme;flexible threshold predicate","","","","29","IEEE","4 Mar 2022","","","IEEE","IEEE Journals"
"A Novel Internet of Things-Centric Framework to Mine Malicious Frequent Patterns","N. Usman; Q. Javaid; A. Akhunzada; K. -K. R. Choo; S. Usman; A. Sher; M. Ilahi; M. Alam","Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Computer Science & Software Engineering, International Islamic University, Islamabad, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA; Department of Electrical Engineering, COMSATS Institute of Information Technology, Sahiwal, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan; Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan","IEEE Access","26 Sep 2019","2019","7","","133914","133923","There are a number of research challenges associated with Internet of Things (IoT) security, and one of these challenges is to design novel frameworks to mine malicious frequent patterns for identifying misuse and detecting anomalies without incurring high computational costs (e.g., due to generation and analysis of unnecessary patterns and gap creation between patterns). Association rule mining is a popular approach in the literature; hence, in this paper, we critically analyze existing association rule mining techniques. We then present a framework for mining malicious frequent patterns in an IoT deployment, prior to evaluating the utility of the proposed framework using data from a Pakistan-based organization.","2169-3536","","10.1109/ACCESS.2017.2690456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7908957","Malicious behavior;security logs;Internet of Things (IoTs);frequent pattern mining;anomaly detection","Itemsets;Data mining;Artificial intelligence;Security;Algorithm design and analysis;Computational efficiency","data mining;Internet;Internet of Things;security of data","association rule mining;anomaly detection;Pakistan-based organization;malicious frequent pattern mining;Internet of Things centric;Internet of Things security","","4","","65","OAPA","24 Apr 2017","","","IEEE","IEEE Journals"
"Situ: Identifying and Explaining Suspicious Behavior in Networks","J. R. Goodall; E. D. Ragan; C. A. Steed; J. W. Reed; G. D. Richardson; K. M. T. Huffer; R. A. Bridges; J. A. Laska",Oak Ridge National Laboratory; University of Florida; Oak Ridge National Laboratory; Oak Ridge National Laboratory; Oak Ridge National Laboratory; Oak Ridge National Laboratory; Oak Ridge National Laboratory; Oak Ridge National Laboratory,"IEEE Transactions on Visualization and Computer Graphics","7 Dec 2018","2019","25","1","204","214","Despite the best efforts of cyber security analysts, networked computing assets are routinely compromised, resulting in the loss of intellectual property, the disclosure of state secrets, and major financial damages. Anomaly detection methods are beneficial for detecting new types of attacks and abnormal network activity, but such algorithms can be difficult to understand and trust. Network operators and cyber analysts need fast and scalable tools to help identify suspicious behavior that bypasses automated security systems, but operators do not want another automated tool with algorithms they do not trust. Experts need tools to augment their own domain expertise and to provide a contextual understanding of suspicious behavior to help them make decisions. In this paper we present Situ, a visual analytics system for discovering suspicious behavior in streaming network data. Situ provides a scalable solution that combines anomaly detection with information visualization. The system's visualizations enable operators to identify and investigate the most anomalous events and IP addresses, and the tool provides context to help operators understand why they are anomalous. Finally, operators need tools that can be integrated into their workflow and with their existing tools. This paper describes the Situ platform and its deployment in an operational network setting. We discuss how operators are currently using the tool in a large organization's security operations center and present the results of expert reviews with professionals.","1941-0506","","10.1109/TVCG.2018.2865029","UT-Battelle, LLC(grant numbers:DE-AC05-000R22725); US Department of Energy; Department of Energy; Laboratory Directed Research and Development Program; Laboratory Directed Research and Development; Dept. of Homeland Security Science & Technology Directorate; HSARPA; Cyber Security Division; DARPA XAI program(grant numbers:N66001-17-2-4031); IARPA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8440825","Network security;situational awareness;privacy and security;streaming data;machine learning;visualization","Data visualization;Network security;Machine learning;Anomaly detection;Visual analytics","computer network security;data visualisation;learning (artificial intelligence)","scalable tools;suspicious behavior;security systems;automated tool;visual analytics system;Situ platform;operational network setting;cyber security analysts;networked computing assets;anomaly detection methods;abnormal network activity;network operators;information visualization;anomalous events;IP addresses;machine learning","","19","","55","IEEE","20 Aug 2018","","","IEEE","IEEE Journals"
"Cloud-Trust—a Security Assessment Model for Infrastructure as a Service (IaaS) Clouds","D. Gonzales; J. M. Kaplan; E. Saltzman; Z. Winkelman; D. Woods","RAND Corporation, Arlington, VA; RAND Corporation, Arlington, VA; RAND Corporation, Arlington, VA; RAND Corporation, Arlington, VA; RAND Corporation, Arlington, VA","IEEE Transactions on Cloud Computing","1 Sep 2017","2017","5","3","523","536","The vulnerability of cloud computing systems (CCSs) to advanced persistent threats (APTs) is a significant concern to government and industry. We present a cloud architecture reference model that incorporates a wide range of security controls and best practices, and a cloud security assessment model-Cloud-Trust-that estimates high level security metrics to quantify the degree of confidentiality and integrity offered by a CCS or cloud service provider (CSP). Cloud-Trust is used to assess the security level of four multi-tenant IaaS cloud architectures equipped with alternative cloud security controls. Results show the probability of CCS penetration (high value data compromise) is high if a minimal set of security controls are implemented. CCS penetration probability drops substantially if a cloud defense in depth security architecture is adopted that protects virtual machine (VM) images at rest, strengthens CSP and cloud tenant system administrator access controls, and which employs other network security controls to minimize cloud network surveillance and discovery of live VMs.","2168-7161","","10.1109/TCC.2015.2415794","Institute of information and infrastructure protection (I3P); Department of Homeland Security (DHS); National Cyber Security Division; RAND Corporation; DHS(grant numbers:2006-CS-001-000001); Johns Hopkins University; Dartmouth University; Binghamton University (SUNY); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7072526","Cloud computing;cyber security;advanced persistent threats;security metrics;virtual machine (VM) isolation","Cloud computing;Servers;Computer architecture;Cryptography;Monitoring;Firewalls (computing)","cloud computing;security of data;virtual machines","cloud-trust;security assessment model;infrastructure as a service clouds;IaaS;advanced persistent threats;APT;cloud architecture reference model;high level security metrics;degree of confidentiality;degree of integrity;cloud service provider;CSP;CCS penetration;high value data compromise;cloud defense;depth security architecture;virtual machine images;live VM;network security controls","","62","","46","IEEE","30 Mar 2015","","","IEEE","IEEE Journals"
"Lattice-Based Key-Aggregate (Searchable) Encryption in Cloud Storage","Y. Yao; Z. Zhai; J. Liu; Z. Li","Key Laboratory of Aerospace Network Security, Ministry of industry and information technology, School of Cyberspace Science and Technology, Beihang University, Beijing, China; Ant Financial Services Group, Beijing, China; Key Laboratory of Aerospace Network Security, Ministry of industry and information technology, School of Cyberspace Science and Technology, Beihang University, Beijing, China; State Key Laboratory of Software Development Environment, Beihang University, Beijing, China","IEEE Access","18 Nov 2019","2019","7","","164544","164555","In cloud storage, selectively sharing encrypted data is becoming increasingly important. One key design challenge is the management of encryption keys. Traditionally, a large quantity of encryption keys have to be managed by the data owner, and an equally large number of keyword trapdoors must be sent to the cloud for the purpose of searching over the shared data, which are cumbersome in terms of secure communication and management. Recently, key-aggregate (searchable) encryption schemes have been introduced to alleviate the problem. However, they were only designed under the Bilinear Diffie-Hellman Exponent assumption in the prior works. Lattice-based key-aggregate (searchable) encryption schemes are valuable, because they have security against quantum computing attacks, average-case to worse-case equivalence as well as simplicity and potential efficiency. Here we propose a key-aggregate encryption scheme and a key-aggregate searchable encryption scheme which are both based on a lattice problem (i.e., the Learning with Errors problem). Some key techniques are employed during the construction of the schemes. A basis delegation algorithm is designed to generate the aggregate key without increasing the lattice dimension. The encryption algorithms of the two schemes are trickily devised to make the encrypted files decryptable or searchable. To overcome the problem of general matrix multiplication failing to satisfy commutative law, a hash function is designed by using diagonalizable matrices to make the encrypted file decryptable and the trapdoor adjustable. We present the schemes’ correctness proof, formal security analysis as well as performance analysis, which confirm that they are provably secure and practically efficient. To the best of our knowledge, the former is the first lattice-based key-aggregate encryption scheme and the latter is the first lattice-based key-aggregate searchable encryption scheme. We also demonstrate their application to cloud storage for searchable group data sharing by combining the two schemes.","2169-3536","","10.1109/ACCESS.2019.2952163","National Natural Science Foundation of China(grant numbers:61602025,61972017,61972018,61932014,U1636211,61170189); National Basic Research Program of China (973 Program)(grant numbers:2016QY04W0802,2017YFB1400702); Natural Science Foundation of Beijing Municipality(grant numbers:4182033); National Cryptography Development Fund(grant numbers:MMJJ20180215); State Key Laboratory of Software Development Environment(grant numbers:SKLSDE-2019ZX-17,SKLSDE-2016ZX-22); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8894101","Cloud storage;searchable data sharing;key-aggregate encryption;key-aggregate searchable encryption;lattice-based problem;the learning with errors problem","Encryption;Cloud computing;Aggregates;Search problems;Lattices","cloud computing;cryptography;matrix multiplication;quantum computing;storage management","cloud storage;encrypted data;encryption keys;lattice-based key-aggregate searchable encryption scheme;searchable group data sharing;basis delegation algorithm;quantum computing attacks;Bilinear Diffie-Hellman Exponent assumption;diagonalizable matrices","","6","","31","CCBY","7 Nov 2019","","","IEEE","IEEE Journals"
"Design and Evaluation of Safety Instrumented Systems: A Simplified and Enhanced Approach","A. Gabriel","School of Electrical, Electronic and Computer Engineering, The University of Western Australia, Crawley, WA, Australia","IEEE Access","24 Apr 2017","2017","5","","3813","3823","An application of a more cost-effective, simplified, and enhanced approach for the design and evaluation of Safety Instrumented Systems (SIS) called funnel risk graph method (FRGM) is presented in this paper. This approach makes compliance more practicable and standards more useful, resulting to an equal degree of functional safety as compared with the traditional approach. A real-life case study utilizing industrial SIS devices are presented to demonstrate the benefits of this approach. In contrast with other complex schemes commonly used for safety assessment, the proposed FRGM gives benefits such that it is straightforward in steps and resource-efficient while achieving the same safety function. While safety is aimed at protecting the systems from accidental failures to eliminate or minimize hazards, security is focused on protecting the systems from deliberate malicious attacks. They share the same goal-protecting the SIS from failing. Industry cybersecurity has become more critical these days and to address such concern, risk assessment for the security of SIS is proposed to be included in the design and evaluation, as part of the enhancement process.","2169-3536","","10.1109/ACCESS.2017.2679023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7873320","Funnel risk graph method (FRGM);safety instrumented systems (SIS);safety integrity level (SIL);performance level (PL);industrial control and safety systems (ICSS);cyber security management system (CSMS)","Silicon;Resource management;Risk management;Standards;Industries;Hazards","graph theory;instrumentation;risk analysis;safety devices;security","safety instrumented system;funnel risk graph method;FRGM;industrial SIS device;complex scheme;safety assessment;hazard minimization;malicious attack;Industry cybersecurity;risk assessment","","5","","30","OAPA","7 Mar 2017","","","IEEE","IEEE Journals"
"Spatio-Temporal Characterization of Synchrophasor Data Against Spoofing Attacks in Smart Grids","Y. Cui; F. Bai; Y. Liu; P. L. Fuhr; M. E. Morales-Rodríguez","Department of Electrical Engineering and Computer Science, The University of Tennessee, Knoxville, TN, USA; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia; Department of Electrical Engineering and Computer Science, The University of Tennessee, Knoxville, TN, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA","IEEE Transactions on Smart Grid","21 Aug 2019","2019","10","5","5807","5818","“Source ID Mix” has emerged as a new type of highly deceiving attack which can alter the source information of synchrophasor data measured by multiple phasor measurement units, thereby paralyzing many wide-area measurement systems applications. To address such sophisticated cyber attacks, we have exploited the spatio-temporal characteristics of synchrophasor data for authenticating measurements' source information. Specifically, the source authentication is performed when the measurements are subjected to three types of spoofing attacks. Some practical difficulties in applying the proposed method on real-time authentication caused by insufficient measurement data have also been solved. Experimental results with real synchrophasor measurements have validated the effectiveness of the proposed method in detecting such complicated data spoofing and improving power systems' cyber security.","1949-3061","","10.1109/TSG.2019.2891852","National Science Foundation; Department of Energy(grant numbers:NSF-EEC-1041877); CURENT Industry Partnership Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8606277","Cyber security;machine learning;phasor measurement unit (PMU);spoofing attack;wide-area measurement systems (WAMS)","Phasor measurement units;Frequency control;Authentication;Time-frequency analysis;Power measurement;Frequency estimation","authorisation;phasor measurement;power engineering computing;power system security;smart power grids","multiple phasor measurement units;wide-area measurement systems applications;spatio-temporal characteristics;source authentication;spoofing attacks;real-time authentication;synchrophasor measurements;spatio-temporal characterization;Source ID Mix;cyber attacks","","16","","28","IEEE","9 Jan 2019","","","IEEE","IEEE Journals"
"Cryptographic Solutions for Industrial Internet-of-Things: Research Challenges and Opportunities","K. -K. R. Choo; S. Gritzalis; J. H. Park","Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA; Department of Information and Communication Systems Engineering, University of the Aegean, LesbosGreece; Department of Computer Science and Engineering, Seoul National University of Science and Technology, Seoul, South Korea","IEEE Transactions on Industrial Informatics","6 Aug 2018","2018","14","8","3567","3569","Industrial Internet of Things (IIoT) is an emerging trend, including in nontraditional technological sector (e.g., oil and gas industry). There are, however, a number of research challenges such using cryptography and other techniques to ensure security and privacy in IIoT applications and services. In this special issue, we present existing state-of-the-art advances reported by the 21 accepted papers. We then conclude the special issue with a number of potential research agenda.","1941-0050","","10.1109/TII.2018.2841049","National Research Foundation of Korea(grant numbers:2016R1A2B4011069); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8367862","Data encryption;Industrial Internet of things (IIoT) security;industrial Internet of things privacy","Informatics;Internet of Things;Encryption;Data privacy;Privacy","cryptography;data privacy;Internet of Things;production engineering computing","cryptographic solutions;industrial Internet-of-Things;nontraditional technological sector;IIoT applications","","94","","25","IEEE","28 May 2018","","","IEEE","IEEE Journals"
"Cheating and Detection Method in Massively Multiplayer Online Role-Playing Game: Systematic Literature Review","M. L. Han; B. I. Kwak; H. K. Kim","Department of AI Cyber Security, Korea University, Sejong City, South Korea; Division of Software, Hallym University, Chuncheon-si, South Korea; School of Cybersecurity, Korea University, Seoul, South Korea","IEEE Access","16 May 2022","2022","10","","49050","49063","Recently, despite massively multiplayer online role-playing game (MMORPG) based on the PC implementation environment in mobile games, related fraudulent and illegal activities are still prevalent in response to the extension and diversity of the online gaming market. For game users who enjoy the game as leisure or cultural content, these issues inhibit the game’s immersion or cause seceding from the game, thus negatively affecting the overall online gaming industry. This systematic review provides an overview of substantial studies on the occurrence of cheating behavior, countermeasures, and detection methods. We aimed to scrutinize the scope of generable cheating behavior due to the structural characteristics of a stateful game server. Furthermore, we focused on providing the basis for the key mechanisms of online games based on the conceptual attributes of the MMORPG. A comprehensive literature research was conducted, and the classification of countermeasures and detection methods were systematized. The results of the systematic literature review contribute to the current understanding of how to correctly manage detection techniques and methods for cheating behavior in the MMORPG.","2169-3536","","10.1109/ACCESS.2022.3172110","Korea University; Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant through the Korea Government [Ministry of Science and ICT (MSIT)], Development of Physical Channel Vulnerability-Based Attacks and its Countermeasures for Reliable On-Device Deep Learning Accelerator Design(grant numbers:2021-0-00903); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9766355","MMORPG;cheating;anomaly detection;countermeasure;detection method","Games;Servers;Real-time systems;Codes;Computer crime;Systematics;Licenses","behavioural sciences computing;computer games;mobile computing","detection methods;systematic literature review;massively multiplayer online role-playing game;mobile games;online gaming market;online gaming industry;stateful game server;cheating behavior;MMORPG;PC implementation environment","","","","103","CCBY","3 May 2022","","","IEEE","IEEE Journals"
"Towards Secure FinTech: A Survey, Taxonomy, and Open Research Challenges","S. Mehrban; M. W. Nadeem; M. Hussain; M. M. Ahmed; O. Hakeem; S. Saqib; M. L. M. Kiah; F. Abbas; M. Hassan; M. A. Khan","Department of Computer Science, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Computer Science, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Computer Science, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Computer Science, Capital University of Science and Technology, Islamabad, Pakistan; Department of Computer Science, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Computer Science, Lahore Garrison University, Lahore, Pakistan; Faculty of Computer Science and Information Technology, University of Malaya, Kuala Lumpur, Malaysia; Department of Computer Science, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Computer Science, School of Systems and Technology, University of Management and Technology, Lahore, Pakistan; Department of Computer Science, Lahore Garrison University, Lahore, Pakistan","IEEE Access","5 Feb 2020","2020","8","","23391","23406","Financial Technology (FinTech) has attracted a wide range of attention and is rapidly proliferating. As a result of its consistent growth new terms have been introduced in this domain. The term `FinTech' is one such terminology. This term is used for describing various operations that are being frequently employed in the financial technology sector. These operations are usually practiced in enterprises or organizations and provide requested services by using Information Technology based applications. The term does take into account various other sensitive issues, like, security, privacy, threats, cyber-attacks, etc. This is important to note that the development of FinTech is indebted to the mutual integration of different state of the art technologies, for example, technologies related to a mobile embedded system, mobile networks, mobile cloud computing, big data, data analytics techniques, and cloud computing etc. However, this technology is facing several security and privacy issues that are much needed to be addressed in order to improve the acceptability of this new technology among its users. In an effort to secure FinTech, this article provides a comprehensive survey of FinTech by reviewing the most recent as well as anticipated financial industry privacy and security issues. It provides a comprehensive analysis of current security issues, detection mechanisms and security solutions proposed for FinTech. Finally, it discusses future challenges to ensure the security and privacy of financial technology applications.","2169-3536","","10.1109/ACCESS.2020.2970430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976098","FinTech;security;privacy;cyber security;threats;fraud detection;Internet of Things","Security;Privacy;Industries;Cloud computing;Investment","data privacy;financial data processing;security of data;technology management","financial industry privacy;information technology based applications;financial technology applications;financial technology sector;FinTech","","33","","112","CCBY","30 Jan 2020","","","IEEE","IEEE Journals"
